JD,mag_L,err_L,epoch,mag_R,err_R,mag_G,err_G,mag_B,err_B
2460317.311856065,,,4,9.302748369032653,0.0039175066418876,,,,
2460317.3130725347,,,4,9.29623807077794,0.0038545347220526,,,,
2460317.31430669,,,4,9.307978959671924,0.0042525365075365,,,,
2460317.3219657755,,,4,9.312476869022214,0.003320819470295,,,,
2460317.323211447,,,4,9.31361898670804,0.0038996723350909,,,,
2460317.3244688543,,,4,9.319464118717809,0.0040863632331,,,,
2460317.32572125,,,4,9.320824220755082,0.0044528813459784,,,,
2460317.329470718,,,4,9.330290669144311,0.0046688824426816,,,,
2460317.33335375,,,4,9.338850500829473,0.0058889048799285,,,,
2460317.3358782637,,,4,9.344187445981424,0.0045379438961218,,,,
2460328.363672338,,,5,9.348527794102688,0.0038323468099237,,,,
2460328.3648922686,,,5,9.349134386244952,0.0039954044119809,,,,
2460328.366118912,,,5,9.351456360217874,0.0034568413860644,,,,
2460328.3673378127,,,5,9.34678111470874,0.0044383023517194,,,,
2460328.368548588,,,5,9.34593153915754,0.0040123501150926,,,,
2460328.369790278,,,5,9.33436282584704,0.0040087623584249,,,,
2460328.371040266,,,5,9.333831210018978,0.0045306465038879,,,,
2460328.372256597,,,5,9.320650260045756,0.0045344596915853,,,,
2460328.37348331,,,5,9.32150384464603,0.0040452271839279,,,,
2460328.3747431366,,,5,9.316895857499391,0.0038006276731505,,,,
2460328.3759635994,,,5,9.324382143264009,0.0045669391913718,,,,
2460328.377186528,,,5,9.313195814945097,0.0032709397724753,,,,
2460328.380228368,,,5,9.308825775070442,0.0048230062559631,,,,
2460328.3813621528,,,5,9.311478324588489,0.0036753724094476,,,,
2460328.382504317,,,5,9.305399040558576,0.0040546765361235,,,,
2460328.3836296643,,,5,9.302181109214036,0.0038032897555217,,,,
2460328.3847572105,,,5,9.304651839392635,0.0039185203037984,,,,
2460328.385887419,,,5,9.298874140107978,0.0041717883155538,,,,
2460328.3976847916,,,5,9.286935750618245,0.0044510357865421,,,,
