#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
82,RZ CEP,000-BDC-590,2458773.267581,9.6425,0.0123,False,Johnson V,CCD,SJTS,,
83,RZ CEP,000-BDC-590,2458773.26772,9.6513,0.0122,False,Johnson V,CCD,SJTS,,
84,RZ CEP,000-BDC-590,2458773.267859,9.6478,0.0122,False,Johnson V,CCD,SJTS,,
85,RZ CEP,000-BDC-590,2458773.267998,9.6418,0.0122,False,Johnson V,CCD,SJTS,,
86,RZ CEP,000-BDC-590,2458773.268137,9.6239,0.0122,False,Johnson V,CCD,SJTS,,
87,RZ CEP,000-BDC-590,2458773.268275,9.6497,0.0121,False,Johnson V,CCD,SJTS,,
88,RZ CEP,000-BDC-590,2458773.268414,9.6199,0.0122,False,Johnson V,CCD,SJTS,,
89,RZ CEP,000-BDC-590,2458773.268542,9.6233,0.0122,False,Johnson V,CCD,SJTS,,
90,RZ CEP,000-BDC-590,2458773.268681,9.6219,0.0122,False,Johnson V,CCD,SJTS,,
91,RZ CEP,000-BDC-590,2458773.268819,9.6401,0.0121,False,Johnson V,CCD,SJTS,,
92,RZ CEP,000-BDC-590,2458773.268958,9.6338,0.0122,False,Johnson V,CCD,SJTS,,
93,RZ CEP,000-BDC-590,2458773.269097,9.6623,0.0122,False,Johnson V,CCD,SJTS,,
94,RZ CEP,000-BDC-590,2458773.269236,9.6434,0.0121,False,Johnson V,CCD,SJTS,,
95,RZ CEP,000-BDC-590,2458773.269363,9.6397,0.0121,False,Johnson V,CCD,SJTS,,
96,RZ CEP,000-BDC-590,2458773.269502,9.6323,0.0121,False,Johnson V,CCD,SJTS,,
97,RZ CEP,000-BDC-590,2458773.269641,9.6277,0.0122,False,Johnson V,CCD,SJTS,,
98,RZ CEP,000-BDC-590,2458773.26978,9.6549,0.0121,False,Johnson V,CCD,SJTS,,
99,RZ CEP,000-BDC-590,2458773.269907,9.6319,0.0122,False,Johnson V,CCD,SJTS,,
100,RZ CEP,000-BDC-590,2458773.270046,9.6315,0.0121,False,Johnson V,CCD,SJTS,,
101,RZ CEP,000-BDC-590,2458773.270313,9.6281,0.0122,False,Johnson V,CCD,SJTS,,
102,RZ CEP,000-BDC-590,2458773.270451,9.644,0.0121,False,Johnson V,CCD,SJTS,,
103,RZ CEP,000-BDC-590,2458773.27059,9.626,0.0121,False,Johnson V,CCD,SJTS,,
104,RZ CEP,000-BDC-590,2458773.270729,9.6216,0.0122,False,Johnson V,CCD,SJTS,,
105,RZ CEP,000-BDC-590,2458773.270856,9.6324,0.012,False,Johnson V,CCD,SJTS,,
106,RZ CEP,000-BDC-590,2458773.270995,9.6375,0.0121,False,Johnson V,CCD,SJTS,,
107,RZ CEP,000-BDC-590,2458773.271134,9.6294,0.0122,False,Johnson V,CCD,SJTS,,
108,RZ CEP,000-BDC-590,2458773.271273,9.6096,0.0122,False,Johnson V,CCD,SJTS,,
109,RZ CEP,000-BDC-590,2458773.271412,9.6377,0.0119,False,Johnson V,CCD,SJTS,,
110,RZ CEP,000-BDC-590,2458773.271551,9.6451,0.0121,False,Johnson V,CCD,SJTS,,
111,RZ CEP,000-BDC-590,2458773.271678,9.6365,0.0121,False,Johnson V,CCD,SJTS,,
112,RZ CEP,000-BDC-590,2458773.271817,9.6131,0.0121,False,Johnson V,CCD,SJTS,,
113,RZ CEP,000-BDC-590,2458773.271956,9.603,0.012,False,Johnson V,CCD,SJTS,,
114,RZ CEP,000-BDC-590,2458773.272095,9.626,0.0121,False,Johnson V,CCD,SJTS,,
115,RZ CEP,000-BDC-590,2458773.272234,9.6239,0.0121,False,Johnson V,CCD,SJTS,,
116,RZ CEP,000-BDC-590,2458773.272361,9.6106,0.0122,False,Johnson V,CCD,SJTS,,
117,RZ CEP,000-BDC-590,2458773.2725,9.6123,0.0121,False,Johnson V,CCD,SJTS,,
118,RZ CEP,000-BDC-590,2458773.272639,9.6053,0.0123,False,Johnson V,CCD,SJTS,,
119,RZ CEP,000-BDC-590,2458773.272778,9.6245,0.0122,False,Johnson V,CCD,SJTS,,
120,RZ CEP,000-BDC-590,2458773.272905,9.6108,0.0121,False,Johnson V,CCD,SJTS,,
121,RZ CEP,000-BDC-590,2458773.273044,9.6131,0.0123,False,Johnson V,CCD,SJTS,,
122,RZ CEP,000-BDC-590,2458773.273183,9.6158,0.0121,False,Johnson V,CCD,SJTS,,
123,RZ CEP,000-BDC-590,2458773.273322,9.606,0.0122,False,Johnson V,CCD,SJTS,,
124,RZ CEP,000-BDC-590,2458773.273461,9.6332,0.0121,False,Johnson V,CCD,SJTS,,
125,RZ CEP,000-BDC-590,2458773.2736,9.6074,0.0121,False,Johnson V,CCD,SJTS,,
126,RZ CEP,000-BDC-590,2458773.273738,9.6116,0.0122,False,Johnson V,CCD,SJTS,,
127,RZ CEP,000-BDC-590,2458773.273877,9.6215,0.0121,False,Johnson V,CCD,SJTS,,
128,RZ CEP,000-BDC-590,2458773.274005,9.6208,0.0121,False,Johnson V,CCD,SJTS,,
129,RZ CEP,000-BDC-590,2458773.274144,9.6069,0.012,False,Johnson V,CCD,SJTS,,
130,RZ CEP,000-BDC-590,2458773.274282,9.6146,0.0121,False,Johnson V,CCD,SJTS,,
131,RZ CEP,000-BDC-590,2458773.274421,9.5729,0.0121,False,Johnson V,CCD,SJTS,,
132,RZ CEP,000-BDC-590,2458773.27456,9.5797,0.0122,False,Johnson V,CCD,SJTS,,
133,RZ CEP,000-BDC-590,2458773.274688,9.602,0.012,False,Johnson V,CCD,SJTS,,
134,RZ CEP,000-BDC-590,2458773.274826,9.6061,0.0121,False,Johnson V,CCD,SJTS,,
135,RZ CEP,000-BDC-590,2458773.274965,9.6071,0.0121,False,Johnson V,CCD,SJTS,,
136,RZ CEP,000-BDC-590,2458773.275104,9.5952,0.012,False,Johnson V,CCD,SJTS,,
137,RZ CEP,000-BDC-590,2458773.275243,9.5967,0.012,False,Johnson V,CCD,SJTS,,
138,RZ CEP,000-BDC-590,2458773.275382,9.5985,0.0121,False,Johnson V,CCD,SJTS,,
139,RZ CEP,000-BDC-590,2458773.275521,9.6232,0.0121,False,Johnson V,CCD,SJTS,,
140,RZ CEP,000-BDC-590,2458773.275787,9.5735,0.0121,False,Johnson V,CCD,SJTS,,
141,RZ CEP,000-BDC-590,2458773.275926,9.6217,0.0121,False,Johnson V,CCD,SJTS,,
142,RZ CEP,000-BDC-590,2458773.276065,9.6099,0.0121,False,Johnson V,CCD,SJTS,,
143,RZ CEP,000-BDC-590,2458773.276204,9.5757,0.0121,False,Johnson V,CCD,SJTS,,
144,RZ CEP,000-BDC-590,2458773.276331,9.5947,0.012,False,Johnson V,CCD,SJTS,,
145,RZ CEP,000-BDC-590,2458773.27647,9.6205,0.012,False,Johnson V,CCD,SJTS,,
146,RZ CEP,000-BDC-590,2458773.276609,9.6059,0.0122,False,Johnson V,CCD,SJTS,,
147,RZ CEP,000-BDC-590,2458773.276748,9.5912,0.0122,False,Johnson V,CCD,SJTS,,
148,RZ CEP,000-BDC-590,2458773.276887,9.5844,0.0121,False,Johnson V,CCD,SJTS,,
149,RZ CEP,000-BDC-590,2458773.277025,9.6064,0.0121,False,Johnson V,CCD,SJTS,,
150,RZ CEP,000-BDC-590,2458773.277164,9.6273,0.0121,False,Johnson V,CCD,SJTS,,
151,RZ CEP,000-BDC-590,2458773.277292,9.6085,0.012,False,Johnson V,CCD,SJTS,,
152,RZ CEP,000-BDC-590,2458773.277431,9.5969,0.0119,False,Johnson V,CCD,SJTS,,
153,RZ CEP,000-BDC-590,2458773.277569,9.6041,0.012,False,Johnson V,CCD,SJTS,,
154,RZ CEP,000-BDC-590,2458773.277708,9.5998,0.012,False,Johnson V,CCD,SJTS,,
155,RZ CEP,000-BDC-590,2458773.277847,9.5974,0.012,False,Johnson V,CCD,SJTS,,
156,RZ CEP,000-BDC-590,2458773.277975,9.5692,0.0121,False,Johnson V,CCD,SJTS,,
157,RZ CEP,000-BDC-590,2458773.278113,9.5925,0.012,False,Johnson V,CCD,SJTS,,
158,RZ CEP,000-BDC-590,2458773.278391,9.6009,0.012,False,Johnson V,CCD,SJTS,,
159,RZ CEP,000-BDC-590,2458773.27853,9.5838,0.0121,False,Johnson V,CCD,SJTS,,
160,RZ CEP,000-BDC-590,2458773.278669,9.5978,0.0121,False,Johnson V,CCD,SJTS,,
161,RZ CEP,000-BDC-590,2458773.278796,9.5582,0.0121,False,Johnson V,CCD,SJTS,,
162,RZ CEP,000-BDC-590,2458773.278935,9.5643,0.012,False,Johnson V,CCD,SJTS,,
163,RZ CEP,000-BDC-590,2458773.279074,9.5837,0.012,False,Johnson V,CCD,SJTS,,
164,RZ CEP,000-BDC-590,2458773.279213,9.5781,0.012,False,Johnson V,CCD,SJTS,,
165,RZ CEP,000-BDC-590,2458773.279352,9.562,0.0119,False,Johnson V,CCD,SJTS,,
166,RZ CEP,000-BDC-590,2458773.279479,9.5808,0.0119,False,Johnson V,CCD,SJTS,,
167,RZ CEP,000-BDC-590,2458773.279618,9.5704,0.012,False,Johnson V,CCD,SJTS,,
168,RZ CEP,000-BDC-590,2458773.279757,9.5803,0.012,False,Johnson V,CCD,SJTS,,
169,RZ CEP,000-BDC-590,2458773.279896,9.5666,0.0121,False,Johnson V,CCD,SJTS,,
170,RZ CEP,000-BDC-590,2458773.280035,9.5661,0.012,False,Johnson V,CCD,SJTS,,
171,RZ CEP,000-BDC-590,2458773.280174,9.5682,0.0121,False,Johnson V,CCD,SJTS,,
172,RZ CEP,000-BDC-590,2458773.280313,9.5376,0.0121,False,Johnson V,CCD,SJTS,,
173,RZ CEP,000-BDC-590,2458773.28044,9.5399,0.0121,False,Johnson V,CCD,SJTS,,
174,RZ CEP,000-BDC-590,2458773.280579,9.5582,0.0121,False,Johnson V,CCD,SJTS,,
175,RZ CEP,000-BDC-590,2458773.280845,9.5539,0.0119,False,Johnson V,CCD,SJTS,,
176,RZ CEP,000-BDC-590,2458773.280984,9.5642,0.012,False,Johnson V,CCD,SJTS,,
177,RZ CEP,000-BDC-590,2458773.281123,9.5641,0.012,False,Johnson V,CCD,SJTS,,
178,RZ CEP,000-BDC-590,2458773.281262,9.5444,0.0121,False,Johnson V,CCD,SJTS,,
179,RZ CEP,000-BDC-590,2458773.2814,9.5834,0.012,False,Johnson V,CCD,SJTS,,
180,RZ CEP,000-BDC-590,2458773.281539,9.5523,0.012,False,Johnson V,CCD,SJTS,,
181,RZ CEP,000-BDC-590,2458773.281667,9.5486,0.0121,False,Johnson V,CCD,SJTS,,
182,RZ CEP,000-BDC-590,2458773.281806,9.5244,0.0122,False,Johnson V,CCD,SJTS,,
183,RZ CEP,000-BDC-590,2458773.281944,9.5392,0.0121,False,Johnson V,CCD,SJTS,,
184,RZ CEP,000-BDC-590,2458773.282083,9.5548,0.012,False,Johnson V,CCD,SJTS,,
185,RZ CEP,000-BDC-590,2458773.28235,9.5354,0.012,False,Johnson V,CCD,SJTS,,
186,RZ CEP,000-BDC-590,2458773.282488,9.5105,0.0121,False,Johnson V,CCD,SJTS,,
187,RZ CEP,000-BDC-590,2458773.282627,9.5298,0.0121,False,Johnson V,CCD,SJTS,,
188,RZ CEP,000-BDC-590,2458773.282766,9.5152,0.012,False,Johnson V,CCD,SJTS,,
189,RZ CEP,000-BDC-590,2458773.282905,9.5456,0.012,False,Johnson V,CCD,SJTS,,
190,RZ CEP,000-BDC-590,2458773.283032,9.5502,0.012,False,Johnson V,CCD,SJTS,,
191,RZ CEP,000-BDC-590,2458773.283171,9.5191,0.0121,False,Johnson V,CCD,SJTS,,
192,RZ CEP,000-BDC-590,2458773.28331,9.5428,0.0119,False,Johnson V,CCD,SJTS,,
193,RZ CEP,000-BDC-590,2458773.283449,9.5113,0.0122,False,Johnson V,CCD,SJTS,,
194,RZ CEP,000-BDC-590,2458773.283576,9.545,0.0119,False,Johnson V,CCD,SJTS,,
195,RZ CEP,000-BDC-590,2458773.283715,9.5361,0.0119,False,Johnson V,CCD,SJTS,,
196,RZ CEP,000-BDC-590,2458773.283854,9.5298,0.012,False,Johnson V,CCD,SJTS,,
197,RZ CEP,000-BDC-590,2458773.283993,9.5153,0.0119,False,Johnson V,CCD,SJTS,,
198,RZ CEP,000-BDC-590,2458773.284132,9.5357,0.012,False,Johnson V,CCD,SJTS,,
199,RZ CEP,000-BDC-590,2458773.284271,9.5089,0.012,False,Johnson V,CCD,SJTS,,
200,RZ CEP,000-BDC-590,2458773.284398,9.5155,0.012,False,Johnson V,CCD,SJTS,,
201,RZ CEP,000-BDC-590,2458773.284537,9.5229,0.012,False,Johnson V,CCD,SJTS,,
202,RZ CEP,000-BDC-590,2458773.284676,9.5065,0.012,False,Johnson V,CCD,SJTS,,
203,RZ CEP,000-BDC-590,2458773.284815,9.5088,0.0118,False,Johnson V,CCD,SJTS,,
204,RZ CEP,000-BDC-590,2458773.284954,9.5308,0.012,False,Johnson V,CCD,SJTS,,
205,RZ CEP,000-BDC-590,2458773.285081,9.5021,0.0119,False,Johnson V,CCD,SJTS,,
206,RZ CEP,000-BDC-590,2458773.28522,9.5024,0.0119,False,Johnson V,CCD,SJTS,,
207,RZ CEP,000-BDC-590,2458773.285359,9.5225,0.0118,False,Johnson V,CCD,SJTS,,
208,RZ CEP,000-BDC-590,2458773.285498,9.5017,0.0119,False,Johnson V,CCD,SJTS,,
209,RZ CEP,000-BDC-590,2458773.285637,9.4981,0.012,False,Johnson V,CCD,SJTS,,
210,RZ CEP,000-BDC-590,2458773.285775,9.4984,0.0119,False,Johnson V,CCD,SJTS,,
211,RZ CEP,000-BDC-590,2458773.285903,9.5168,0.0117,False,Johnson V,CCD,SJTS,,
212,RZ CEP,000-BDC-590,2458773.286042,9.514,0.0118,False,Johnson V,CCD,SJTS,,
213,RZ CEP,000-BDC-590,2458773.286181,9.4957,0.0118,False,Johnson V,CCD,SJTS,,
214,RZ CEP,000-BDC-590,2458773.286319,9.4951,0.0119,False,Johnson V,CCD,SJTS,,
215,RZ CEP,000-BDC-590,2458773.286597,9.5128,0.0118,False,Johnson V,CCD,SJTS,,
216,RZ CEP,000-BDC-590,2458773.286736,9.4862,0.012,False,Johnson V,CCD,SJTS,,
217,RZ CEP,000-BDC-590,2458773.286875,9.5072,0.0118,False,Johnson V,CCD,SJTS,,
218,RZ CEP,000-BDC-590,2458773.287002,9.4863,0.0118,False,Johnson V,CCD,SJTS,,
219,RZ CEP,000-BDC-590,2458773.287141,9.4844,0.0119,False,Johnson V,CCD,SJTS,,
220,RZ CEP,000-BDC-590,2458773.28728,9.4886,0.0118,False,Johnson V,CCD,SJTS,,
221,RZ CEP,000-BDC-590,2458773.287558,9.4845,0.0119,False,Johnson V,CCD,SJTS,,
222,RZ CEP,000-BDC-590,2458773.287697,9.4532,0.0119,False,Johnson V,CCD,SJTS,,
223,RZ CEP,000-BDC-590,2458773.287836,9.4791,0.0119,False,Johnson V,CCD,SJTS,,
224,RZ CEP,000-BDC-590,2458773.287963,9.4857,0.0119,False,Johnson V,CCD,SJTS,,
225,RZ CEP,000-BDC-590,2458773.288102,9.4867,0.0119,False,Johnson V,CCD,SJTS,,
226,RZ CEP,000-BDC-590,2458773.288241,9.494,0.0118,False,Johnson V,CCD,SJTS,,
227,RZ CEP,000-BDC-590,2458773.28838,9.4645,0.0119,False,Johnson V,CCD,SJTS,,
228,RZ CEP,000-BDC-590,2458773.288519,9.5004,0.0119,False,Johnson V,CCD,SJTS,,
229,RZ CEP,000-BDC-590,2458773.288646,9.4659,0.0118,False,Johnson V,CCD,SJTS,,
230,RZ CEP,000-BDC-590,2458773.288785,9.4734,0.0118,False,Johnson V,CCD,SJTS,,
231,RZ CEP,000-BDC-590,2458773.288924,9.4672,0.0119,False,Johnson V,CCD,SJTS,,
