main_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,best_classification,period
1765177102768378368,314.89032017539796,18.211603263236814,10.897708,11.13251,10.505171,RRab,0.7631028470889096
3960906320265637888,188.1900144626333,27.02920717442483,11.728799,11.894317,11.319093,RRab,0.5865840391483544
3962473193054146944,190.01306746870546,27.498866189976557,11.79175,11.91373,11.489722,RRc,0.29273718123957
3972712536822542336,174.50847002473122,16.54332660943659,11.561305,11.69794,11.260345,RRc,0.3627402640674439
4352084489819078784,246.1717186065568,-6.54161624279352,10.899414,11.298892,10.337493,RRab,0.39703164059550317
3940418398550912512,199.4638238681458,20.780614754499688,11.41955,11.626399,10.988153,RRab,0.5989338330520482
3946316423735761536,184.56671917304237,16.15428652690629,10.392488,10.580895,10.068091,RRc,0.4485856176988341
695655337537044864,139.7751384939026,29.065319514993156,11.791888,11.977578,11.4176445,RRab,0.5471978717077076
1489614955993536000,221.2747733127139,41.028692643015084,11.294648,11.453763,10.859578,RRab,0.5322676364431206
1492230556717187456,214.15239767403446,42.359770233173734,11.006255,11.116195,10.724413,RRc,0.3125589785657776
2125982599343482624,291.36564029422567,42.783488792618705,7.6188045,7.831135,7.257368,RRab,0.5667732268824381
2622261225664677120,336.4132101558941,-7.941210669094626,10.749395,10.917178,10.418674,RRc,0.4052476730890854
417906781834850816,10.506216209993912,54.2513719472959,10.980713,11.126574,10.691217,RRc,0.33440379785915036
34113623857898880,44.59148892789382,15.671683364070349,11.65353,11.979081,11.118216,RRab,0.6424108488440919
3915998558830693888,174.63612343971593,10.561430891938802,11.584578,11.790884,11.163701,RRab,0.4779803804691224
1869209182153406976,312.60683260184317,34.10621059502021,11.478094,11.534421,11.035764,RRc,0.32610043352563406
765390904751301376,168.275192231559,40.36064064762014,11.554101,11.695154,11.241634,RRc,0.3180135935501538
766938634870850432,173.9028811302606,38.76591629899046,11.634502,11.731081,11.373919,RRc,0.2679543526573898
2110264427784391168,278.31341475204795,40.17303661591981,11.059039,11.255234,10.651963,RRab,0.4409135597106161
1093345639583902592,126.10259414996979,65.71737874982055,11.063573,11.296601,10.604873,RRab,0.5990092390634152
4228943688634018816,306.9072783312655,-1.666546738858756,11.685276,11.943369,11.181013,RRab,0.7248250220114352
4417888542753226112,232.75756436521334,1.6837805267319799,9.981442,10.249018,9.58176,RRab,0.7141111719974252
905055201038874624,125.92082289693734,37.46954778992999,11.348952,11.509313,11.0304785,RRab,0.4948277619678433
1317846466364172800,244.85759573402186,29.713113503708996,11.387015,11.528846,11.087021,RRc,0.3316838216337179
3642187380028718464,218.34183583323417,-4.303223646714378,10.638122,10.813279,10.318605,RRc,0.24963050638854628
6338829089843936256,225.22103912290143,-4.455456532269539,8.9068985,9.193132,8.432531,RRab,0.5844122606419658
1853751148171392256,320.2980998347744,32.19129449755633,11.547016,11.750815,11.059776,RRab,0.4198623093455614
2720896455287475584,333.8569363715973,6.8226195643918075,9.517183,9.6918335,9.186373,RRc,0.2555142549263535
729403339418654080,156.35674711652527,28.785302295895136,11.761303,11.913469,11.354865,RRab,0.5438957661500896
3698725337376560512,182.14594420682138,-0.4567634553290866,10.639724,10.877479,10.249586,RRab,0.47559701682552497
886793515494085248,110.38971249641342,30.883188912770258,11.387569,11.548489,10.942754,RRab,0.3972827270749738
2688734709383609344,317.55350725749497,-1.7212206570565616,11.830613,11.963856,11.384086,RRab,0.46340368579414953
2689556491246048896,318.8241947328094,0.0761035663579507,11.230009,11.408821,10.7921505,RRab,0.4593049909572668
1858568795812429056,314.11790328941987,30.42782823386093,11.017679,11.246389,10.566738,RRab,0.5607068376796509
2090986690417092224,280.9079205089054,32.79842939851597,11.67092,11.868423,11.207556,RRab,0.5112409150191694
1111846056593351168,111.86632016706949,72.70335041087235,9.39608,9.623374,8.99246,RRab,0.6283992659441406
1561928427003019520,203.32514328972982,53.987198157541364,10.85834,11.065078,10.482134,RRab,0.46805905525592434
1565435491138161664,201.555538125663,56.256964413584946,10.845738,10.951508,10.585953,RRc,0.3071316601313502
2558296724402139392,23.034104334078958,1.3415337061987371,9.704457,9.935153,9.315176,RRab,0.5530273076717404
2142052889490819328,293.1227874344177,56.38808516047676,9.9137535,10.13738,9.498593,RRab,0.46660269837939694
2211629018927324288,339.80587284527695,64.85935050030417,9.29427,9.541605,8.802095,RRc,0.3087043245277305
6322601191571653504,230.52012174131534,-6.471200161398193,10.9994,11.260267,10.536629,RRab,0.7788943328276304
