JD,mag_L,err_L,mag_R,err_R,mag_G,err_G,mag_B,err_B
2460328.4371450115,10.580459319580529,0.0045887582524632,,,,,,
2460328.4397380324,10.593849103485816,0.0046075789999583,,,,,,
2460328.4430281366,10.588036378115753,0.004953481378393,,,,,,
2460328.4475446297,10.62188833623366,0.0048230703685529,,,,,,
2460328.4504383216,10.62949296359924,0.0051849704444769,,,,,,
2460328.4532595947,10.652853272864588,0.0058210011940639,,,,,,
2460328.456237986,10.660831292463936,0.005850348976634,,,,,,
2460328.4589098147,10.669929125427773,0.005516564879044,,,,,,
2460328.461504757,10.696177195970684,0.0047907049227077,,,,,,
2460328.4643035415,10.710380667931991,0.0069859855040723,,,,,,
2460328.467392535,10.76265486880134,0.0050893115262351,,,,,,
2460328.4697340974,10.770277790390598,0.0053545893409983,,,,,,
2460328.4725911804,10.818991658201448,0.0045139773614118,,,,,,
2460328.4757931596,10.861915089924524,0.0059300145178548,,,,,,
2460328.478491991,10.901189480660696,0.00677455211311,,,,,,
2460328.4814304397,10.931943802292754,0.0043560703351898,,,,,,
2460328.484286227,10.96277056106947,0.0050326211893596,,,,,,
2460328.4873283333,10.995276406529944,0.0042172558370056,,,,,,
2460328.4904096527,11.031740689433176,0.0037177923038978,,,,,,
2460328.4933010302,11.049371920840317,0.0045879168196213,,,,,,
2460328.496905463,11.052539092185272,0.0043972543399552,,,,,,
2460328.363672338,,,9.348527794102688,0.0038323468099237,,,,
2460328.3648922686,,,9.349134386244952,0.0039954044119809,,,,
2460328.366118912,,,9.351456360217874,0.0034568413860644,,,,
2460328.3673378127,,,9.34678111470874,0.0044383023517194,,,,
2460328.368548588,,,9.34593153915754,0.0040123501150926,,,,
2460328.369790278,,,9.33436282584704,0.0040087623584249,,,,
2460328.371040266,,,9.333831210018978,0.0045306465038879,,,,
2460328.372256597,,,9.320650260045756,0.0045344596915853,,,,
2460328.37348331,,,9.32150384464603,0.0040452271839279,,,,
2460328.3747431366,,,9.316895857499391,0.0038006276731505,,,,
2460328.3759635994,,,9.324382143264009,0.0045669391913718,,,,
2460328.377186528,,,9.313195814945097,0.0032709397724753,,,,
2460328.380228368,,,9.308825775070442,0.0048230062559631,,,,
2460328.3813621528,,,9.311478324588489,0.0036753724094476,,,,
2460328.382504317,,,9.305399040558576,0.0040546765361235,,,,
2460328.3836296643,,,9.302181109214036,0.0038032897555217,,,,
2460328.3847572105,,,9.304651839392635,0.0039185203037984,,,,
2460328.385887419,,,9.298874140107978,0.0041717883155538,,,,
2460328.3976847916,,,9.286935750618245,0.0044510357865421,,,,
2460328.3988060765,,,9.293134285125111,0.0036098164836093,,,,
2460328.399940162,,,9.285021795408774,0.0046205423128169,,,,
2460328.4010540163,,,9.288251700683064,0.0041337539961767,,,,
2460328.402745058,,,9.281282271855826,0.0040340870206364,,,,
2460328.405888206,,,9.29516636377244,0.0046119985692446,,,,
2460328.4088275116,,,9.294462722688133,0.0037132108660783,,,,
2460328.411655,,,9.298460245252317,0.0047749172896598,,,,
2460328.4144646064,,,9.297404482692984,0.0039726023356062,,,,
2460328.4175285534,,,9.310459865188664,0.0047613461839101,,,,
2460328.420386597,,,9.310024153571076,0.0044671971108258,,,,
2460328.423128634,,,9.297358007728851,0.0047651937534067,,,,
2460328.4259420373,,,9.321732253900812,0.0048975973685286,,,,
2460328.4290311458,,,9.315104196219016,0.0032318248387556,,,,
2460328.43179625,,,9.31912396843662,0.00423563369409,,,,
2460328.4351075348,,,9.31821510049921,0.0041695339425235,,,,
2460328.437886875,,,9.33592351856024,0.0043839569561247,,,,
2460328.440482917,,,9.332796674992288,0.0043945003204747,,,,
2460328.4453133796,,,9.34740181220398,0.0046836169173492,,,,
2460328.4482712154,,,9.363244420001587,0.004217060554996,,,,
2460328.45098706,,,9.359014064944244,0.0043368136466072,,,,
2460328.4538236572,,,9.372135575544023,0.0041963393362466,,,,
2460328.4568642476,,,9.39574450571517,0.0046069087871097,,,,
2460328.4595296066,,,9.411660184168689,0.0074268031217239,,,,
2460328.462266053,,,9.433079013919642,0.0048245323256843,,,,
2460328.465050648,,,9.449653763479745,0.0040685067206031,,,,
2460328.467955463,,,9.465731834435909,0.0041782188548217,,,,
2460328.470432477,,,9.484748057183932,0.0035102312087032,,,,
2460328.4734676275,,,9.527511545837214,0.0039235275347821,,,,
2460328.4765181364,,,9.563241675225978,0.0035303916122369,,,,
2460328.4790152777,,,9.591323171056908,0.0039911390116986,,,,
2460328.482144942,,,9.61624127746595,0.0043709170296104,,,,
2460328.4852246875,,,9.65526379196165,0.0060162480121866,,,,
2460328.488256875,,,9.671818709072332,0.0047171972032042,,,,
2460328.490989051,,,9.694626590450223,0.0033711551887466,,,,
2460328.493685081,,,9.71704501958966,0.0115857532847716,,,,
2460328.4974044096,,,9.714296566900009,0.0037255038947829,,,,
2460328.364040787,,,,,9.529900424232236,0.0057798805331825,,
2460328.3652675,,,,,9.527083232717992,0.0041455852737823,,
